date,commitCount,Repository
2022-07-10,4,microsoft/autogen
2022-07-17,4,microsoft/autogen
2022-07-24,2,microsoft/autogen
2022-07-31,3,microsoft/autogen
2022-08-07,15,microsoft/autogen
2022-08-14,10,microsoft/autogen
2022-08-21,18,microsoft/autogen
2022-08-28,0,microsoft/autogen
2022-09-04,3,microsoft/autogen
2022-09-11,1,microsoft/autogen
2022-09-18,0,microsoft/autogen
2022-09-25,0,microsoft/autogen
2022-10-02,3,microsoft/autogen
2022-10-09,40,microsoft/autogen
2022-10-16,6,microsoft/autogen
2022-10-23,0,microsoft/autogen
2022-10-30,7,microsoft/autogen
2022-11-06,1,microsoft/autogen
2022-11-13,7,microsoft/autogen
2022-11-20,1,microsoft/autogen
2022-11-27,7,microsoft/autogen
2022-12-04,12,microsoft/autogen
2022-12-11,7,microsoft/autogen
2022-12-18,7,microsoft/autogen
2022-12-25,2,microsoft/autogen
2023-01-01,4,microsoft/autogen
2023-01-08,3,microsoft/autogen
2023-01-15,2,microsoft/autogen
2023-01-22,7,microsoft/autogen
2023-01-29,3,microsoft/autogen
2023-02-05,10,microsoft/autogen
2023-02-12,6,microsoft/autogen
2023-02-19,11,microsoft/autogen
2023-02-26,10,microsoft/autogen
2023-03-05,12,microsoft/autogen
2023-03-12,1,microsoft/autogen
2023-03-19,0,microsoft/autogen
2023-03-26,4,microsoft/autogen
2023-04-02,13,microsoft/autogen
2023-04-09,7,microsoft/autogen
2023-04-16,6,microsoft/autogen
2023-04-23,11,microsoft/autogen
2023-04-30,11,microsoft/autogen
2023-05-07,2,microsoft/autogen
2023-05-14,8,microsoft/autogen
2023-05-21,12,microsoft/autogen
2023-05-28,10,microsoft/autogen
2023-06-04,4,microsoft/autogen
2023-06-11,24,microsoft/autogen
2023-06-18,5,microsoft/autogen
2023-06-25,3,microsoft/autogen
2023-07-02,12,microsoft/autogen
2023-07-09,27,microsoft/autogen
2023-07-16,16,microsoft/autogen
2023-07-23,15,microsoft/autogen
2023-07-30,6,microsoft/autogen
2023-08-06,3,microsoft/autogen
2023-08-13,8,microsoft/autogen
2023-08-20,3,microsoft/autogen
2023-08-27,20,microsoft/autogen
