repository,repo,release_id,name,tag_name,published_at
langchain-ai/langchain,langchain-ai/langchain,200004656,langchain-chroma==0.2.2,langchain-chroma==0.2.2,2025-02-13 02:47:29+00:00
langchain-ai/langchain,langchain-ai/langchain,199934064,langchain-core==0.3.35,langchain-core==0.3.35,2025-02-12 18:16:52+00:00
langchain-ai/langchain,langchain-ai/langchain,199695666,langchain-pinecone==0.2.3,langchain-pinecone==0.2.3,2025-02-11 19:32:46+00:00
langchain-ai/langchain,langchain-ai/langchain,199694444,langchain-openai==0.3.5,langchain-openai==0.3.5,2025-02-11 19:25:42+00:00
langchain-ai/langchain,langchain-ai/langchain,199725459,langchain-deepseek==0.1.2,langchain-deepseek==0.1.2,2025-02-11 22:34:20+00:00
langchain-ai/langchain,langchain-ai/langchain,199114321,langchain==0.3.18,langchain==0.3.18,2025-02-07 18:44:08+00:00
langchain-ai/langchain,langchain-ai/langchain,199124470,langchain-community==0.3.17,langchain-community==0.3.17,2025-02-07 19:46:11+00:00
langchain-ai/langchain,langchain-ai/langchain,198823713,langchain==0.3.18rc2,langchain==0.3.18rc2,2025-02-06 13:31:16+00:00
langchain-ai/langchain,langchain-ai/langchain,198926449,langchain-text-splitters==0.3.6,langchain-text-splitters==0.3.6,2025-02-06 21:19:40+00:00
langchain-ai/langchain,langchain-ai/langchain,198932152,langchain-tests==0.3.11,langchain-tests==0.3.11,2025-02-06 22:00:16+00:00
langchain-ai/langchain,langchain-ai/langchain,198934878,langchain-openai==0.3.4,langchain-openai==0.3.4,2025-02-06 22:19:56+00:00
langchain-ai/langchain,langchain-ai/langchain,198922880,langchain-core==0.3.34,langchain-core==0.3.34,2025-02-06 20:57:26+00:00
langchain-ai/langchain,langchain-ai/langchain,198934213,langchain-anthropic==0.3.7,langchain-anthropic==0.3.7,2025-02-06 22:15:20+00:00
langchain-ai/langchain,langchain-ai/langchain,198593806,langchain-anthropic==0.3.6,langchain-anthropic==0.3.6,2025-02-05 14:26:08+00:00
langchain-ai/langchain,langchain-ai/langchain,198379914,langchain-text-splitters==0.3.6rc1,langchain-text-splitters==0.3.6rc1,2025-02-04 16:17:06+00:00
langchain-ai/langchain,langchain-ai/langchain,198464962,langchain-deepseek==0.1.1,langchain-deepseek==0.1.1,2025-02-04 23:53:30+00:00
langchain-ai/langchain,langchain-ai/langchain,198411224,langchain-deepseek==0.1.0,langchain-deepseek==0.1.0,2025-02-04 18:43:02+00:00
langchain-ai/langchain,langchain-ai/langchain,198366030,langchain-core==0.3.34rc1,langchain-core==0.3.34rc1,2025-02-04 15:19:29+00:00
langchain-ai/langchain,langchain-ai/langchain,198427723,langchain-community==0.3.17rc1,langchain-community==0.3.17rc1,2025-02-04 20:17:40+00:00
langchain-ai/langchain,langchain-ai/langchain,198209706,langchain==0.3.18rc1,langchain==0.3.18rc1,2025-02-03 22:49:40+00:00
langchain-ai/langchain,langchain-ai/langchain,197467589,langchain==0.3.17,langchain==0.3.17,2025-01-29 22:31:12+00:00
langchain-ai/langchain,langchain-ai/langchain,197466893,langchain-tests==0.3.10,langchain-tests==0.3.10,2025-01-29 22:24:57+00:00
langchain-ai/langchain,langchain-ai/langchain,197467591,langchain-openai==0.3.3,langchain-openai==0.3.3,2025-01-29 22:31:12+00:00
langchain-ai/langchain,langchain-ai/langchain,197466687,langchain-ollama==0.2.3,langchain-ollama==0.2.3,2025-01-29 22:23:04+00:00
langchain-ai/langchain,langchain-ai/langchain,197467275,langchain-mistralai==0.2.6,langchain-mistralai==0.2.6,2025-01-29 22:28:16+00:00
langchain-ai/langchain,langchain-ai/langchain,197467457,langchain-groq==0.2.4,langchain-groq==0.2.4,2025-01-29 22:29:58+00:00
langchain-ai/langchain,langchain-ai/langchain,197478438,langchain-fireworks==0.2.7,langchain-fireworks==0.2.7,2025-01-30 00:24:36+00:00
langchain-ai/langchain,langchain-ai/langchain,197465729,langchain-core==0.3.33,langchain-core==0.3.33,2025-01-29 22:15:16+00:00
langchain-ai/langchain,langchain-ai/langchain,197467355,langchain-anthropic==0.3.5,langchain-anthropic==0.3.5,2025-01-29 22:29:03+00:00
langchain-ai/langchain,langchain-ai/langchain,197080716,langchain==0.3.16,langchain==0.3.16,2025-01-28 07:38:26+00:00
langchain-ai/langchain,langchain-ai/langchain,197260748,langchain-mistralai==0.2.5,langchain-mistralai==0.2.5,2025-01-28 23:34:44+00:00
langchain-ai/langchain,langchain-ai/langchain,197079479,langchain-core==0.3.32,langchain-core==0.3.32,2025-01-28 07:26:12+00:00
langchain-ai/langchain,langchain-ai/langchain,197082220,langchain-community==0.3.16,langchain-community==0.3.16,2025-01-28 07:53:32+00:00
langchain-ai/langchain,langchain-ai/langchain,197021887,langchain-chroma==0.2.1,langchain-chroma==0.2.1,2025-01-27 20:49:55+00:00
langchain-ai/langchain,langchain-ai/langchain,196521699,langchain-openai==0.3.2,langchain-openai==0.3.2,2025-01-23 21:41:14+00:00
langchain-ai/langchain,langchain-ai/langchain,196537167,langchain-anthropic==0.3.4,langchain-anthropic==0.3.4,2025-01-24 00:02:49+00:00
